,tokens,Sentiment
0,"[u'Crust', u'is', u'not', u'good']",0
1,"[u'Not', u'tasty', u'and', u'the', u'texture', u'was', u'just', u'nasty']",0
2,"[u'Stopped', u'by', u'during', u'the', u'late', u'May', u'bank', u'holiday', u'off', u'Rick', u'Steve', u'recommendation', u'and', u'loved', u'it']",1
3,"[u'The', u'selection', u'on', u'the', u'menu', u'was', u'great', u'and', u'so', u'were', u'the', u'prices']",1
4,"[u'Now', u'I', u'am', u'getting', u'angry', u'and', u'I', u'want', u'my', u'damn', u'pho']",0
5,"[u'Honeslty', u'it', u'didn', u't', u'taste', u'THAT', u'fresh']",0
6,"[u'The', u'potatoes', u'were', u'like', u'rubber', u'and', u'you', u'could', u'tell', u'they', u'had', u'been', u'made', u'up', u'ahead', u'of', u'time', u'being', u'kept', u'under', u'a', u'warmer']",0
7,"[u'The', u'fries', u'were', u'great', u'too']",1
8,"[u'A', u'great', u'touch']",1
9,"[u'Service', u'was', u'very', u'prompt']",1
10,"[u'Would', u'not', u'go', u'back']",0
11,"[u'The', u'cashier', u'had', u'no', u'care', u'what', u'so', u'ever', u'on', u'what', u'I', u'had', u'to', u'say', u'it', u'still', u'ended', u'up', u'being', u'wayyy', u'overpriced']",0
12,"[u'I', u'tried', u'the', u'Cape', u'Cod', u'ravoli', u'chicken', u'with', u'cranberry', u'mmmm']",1
13,"[u'I', u'was', u'disgusted', u'because', u'I', u'was', u'pretty', u'sure', u'that', u'was', u'human', u'hair']",0
14,"[u'I', u'was', u'shocked', u'because', u'no', u'signs', u'indicate', u'cash', u'only']",0
15,"[u'Highly', u'recommended']",1
16,"[u'Waitress', u'was', u'a', u'little', u'slow', u'in', u'service']",0
17,"[u'This', u'place', u'is', u'not', u'worth', u'your', u'time', u'let', u'alone', u'Vegas']",0
18,"[u'did', u'not', u'like', u'at', u'all']",0
19,"[u'The', u'Burrittos', u'Blah']",0
20,"[u'The', u'food', u'amazing']",1
21,"[u'Service', u'is', u'also', u'cute']",1
22,"[u'I', u'could', u'care', u'less', u'The', u'interior', u'is', u'just', u'beautiful']",1
23,"[u'So', u'they', u'performed']",1
24,"[u'That', u's', u'right', u'the', u'red', u'velvet', u'cake', u'ohhh', u'this', u'stuff', u'is', u'so', u'good']",1
25,"[u'They', u'never', u'brought', u'a', u'salad', u'we', u'asked', u'for']",0
26,"[u'This', u'hole', u'in', u'the', u'wall', u'has', u'great', u'Mexican', u'street', u'tacos', u'and', u'friendly', u'staff']",1
